25/04/2025;;;;;;;;;;;;
Hora;Temperatura do Tanque AQ;Temperatura de entrada AQ;Temperatura de saida AQ;Temperatura de entrada AF;Temperatura de saida AF;Vazao AQ;Vazao AF;Pressao AQ;Pressao AF;Aquecedor;Bomba AF;BombaAQ
14:45:21.2;69,63;61,36;54,65;26,82;27,46;39,66;55,18;40,75;72,64;0;100;True
14:45:22.3;69,64;63,03;55,29;26,82;28,29;42,66;55,48;40,18;72,64;0;100;True
14:45:23.3;69,65;64,39;56,77;26,81;29,26;41,37;52,9;40,52;72,64;0;100;True
14:45:24.4;69,64;65,35;58,3;26,82;30,12;39,09;54,87;40,37;72,64;0;100;True
14:45:25.4;69,56;66,1;59,6;26,82;30,78;40,09;55,48;41,12;72,64;0;100;True
14:45:26.5;69,28;66,63;60,64;26,81;31,35;40,95;54,57;40,78;72,64;0;100;True
14:45:27.5;68,92;66,85;61,45;26,81;31,78;39,95;54,72;40,32;72,64;0;100;True
14:45:28.6;68,62;66,85;62,06;26,81;32,1;39,8;55,18;41,81;72,64;0;100;True
14:45:29.6;68,41;66,82;62,44;26,81;32,35;39,95;55,33;40,18;72,64;0;100;True
14:45:30.7;68,26;66,83;62,62;26,81;32,53;41,37;55,33;40,05;72,64;0;100;True
14:45:31.7;68,19;66,89;62,68;26,81;32,64;41,09;55,02;40,8;72,64;0;100;True
14:45:32.8;68,17;66,98;62,72;26,81;32,72;40,66;56,85;41,72;72,64;0;100;True
14:45:33.8;68,18;67,09;62,78;26,81;32,78;41,8;54,42;40,28;72,64;0;100;True
14:45:34.9;68,19;67,22;62,86;26,81;32,83;40,95;55,63;39,82;72,64;0;100;True
14:45:35.9;68,17;67,35;62,96;26,81;32,87;42,37;53,5;40,61;72,64;0;100;True
14:45:37.0;68,12;67,44;63,07;26,81;32,92;40,95;54,42;40,78;72,64;0;100;True
14:45:38.1;68,06;67,49;63,19;26,81;32,96;39,23;54,87;41,86;72,64;0;100;True
14:45:39.1;68,03;67,51;63,3;26,81;32,99;40,23;53,35;41,3;72,64;0;100;True
14:45:40.2;68,02;67,49;63,39;26,81;33,03;40,09;55,48;41,09;72,64;0;100;True
14:45:41.2;68,01;67,45;63,45;26,81;33,05;41,66;57,61;39,32;72,64;0;100;True
14:45:42.2;67,99;67,41;63,47;26,81;33,07;41,8;54,42;41,43;72,64;0;100;True
14:45:43.3;67,96;67,38;63,47;26,81;33,09;39,23;57,76;40,8;72,64;0;100;True
14:45:44.4;67,89;67,34;63,47;26,81;33,1;38,38;55,02;40,62;72,64;0;100;True
14:45:45.4;67,82;67,27;63,46;26,81;33,1;40,95;55,02;39,78;72,64;0;100;True
14:45:46.4;67,73;67,19;63,45;26,81;33,11;41,09;56,7;39,94;72,64;0;100;True
14:45:47.5;67,66;67,11;63,42;26,81;33,11;37,24;51,83;40,87;72,64;0;100;True
14:45:48.5;67,61;67,04;63,37;26,81;33,11;39,52;54,57;40,18;72,64;0;100;True
14:45:49.6;67,51;66,97;63,33;26,81;33,11;41,09;56,09;39,6;72,64;0;100;True
14:45:50.6;67,43;66,9;63,28;26,81;33,11;39,23;57,61;39,5;72,64;0;100;True
14:45:51.7;67,41;66,85;63,24;26,81;33,1;39,38;54,87;41,29;72,64;0;100;True
14:45:52.7;67,4;66,81;63,2;26,81;33,1;40,66;53,5;39,75;72,64;0;100;True
14:45:53.8;67,36;66,79;63,17;26,81;33,09;39,09;55,18;41,11;72,64;0;100;True
14:45:54.8;67,29;66,77;63,14;26,81;33,09;41,23;55,33;41,23;72,64;0;100;True
14:45:55.9;67,22;66,72;63,12;26,81;33,08;39,8;54,26;39,08;72,64;0;100;True
14:45:56.9;67,12;66,64;63,11;26,81;33,08;39,52;55,02;40,96;72,64;0;100;True
14:45:58.0;67,05;66,57;63,09;26,81;33,08;40,66;54,57;40,39;72,64;0;100;True
14:45:59.0;66,98;66,5;63,05;26,81;33,08;42,23;55,94;40,71;72,64;0;100;True
14:46:00.1;66,82;66,43;63;26,8;33,08;41,23;54,26;41,77;72,64;0;100;True
14:46:01.1;66,65;66,35;62,95;26,8;33,07;41,94;55,18;39,17;72,64;0;100;True
14:46:02.2;66,54;66,27;62,9;26,8;33,07;40,8;55,18;41,84;72,64;0;100;True
14:46:03.2;66,45;66,2;62,85;26,8;33,06;39,52;56,09;41,77;72,64;0;100;True
14:46:04.3;66,38;66,14;62,8;26,8;33,05;39,09;57;39,93;72,64;0;100;True
