18/02/2025;;;;;;;;;;;;
Hora;Temperatura do Tanque AQ;Temperatura de entrada AQ;Temperatura de saida AQ;Temperatura de entrada AF;Temperatura de saida AF;Vazao AQ;Vazao AF;Pressao AQ;Pressao AF;Aquecedor;Bomba AF;BombaAQ
15:54:37.7;65,58;53,09;43,78;33,01;33,88;44,23;51,38;73,32;73,32;100;100;True
15:54:38.7;65,81;55,98;41,57;33,01;35,29;49,36;50,77;73,32;73,32;100;100;True
15:54:39.8;66,12;58,47;42,3;33,01;37,61;48,22;50,77;73,32;73,32;100;100;True
15:54:40.8;66,45;60,46;43,88;33,01;39,86;48,22;50,92;73,32;73,32;100;100;True
15:54:41.9;66,71;61,98;45,43;33,01;41,98;48,79;52,59;73,32;73,32;100;100;True
15:54:43.0;66,86;63,1;46,69;33,01;43,67;47,79;51,07;73,32;73,32;100;100;True
15:54:44.0;66,82;63,8;47,65;33,01;44,93;46,08;52,14;73,32;73,32;100;100;True
15:54:45.0;66,65;64,35;48,33;33,01;45,95;49,36;51,98;73,32;73,32;100;100;True
15:54:46.1;66,43;64,75;48,81;33,01;46,71;48,93;51,98;73,32;73,32;100;100;True
15:54:47.1;66,26;65,01;49,15;33,01;47,26;47,94;53,81;73,32;73,32;100;100;True
15:54:48.2;66,24;65,19;49,39;33,01;47,7;48,79;51,53;73,32;73,32;100;100;True
15:54:49.2;66,27;65,35;49,58;33,01;48,03;49,65;52,14;73,32;73,32;100;100;True
15:54:50.3;66,2;65,5;49,71;33,01;48,25;47,22;54,42;73,32;73,32;100;100;True
15:54:51.3;66,11;65,64;49,81;33,01;48,45;48,51;51,53;73,32;73,32;100;100;True
15:54:52.4;66,01;65,77;49,9;33,01;48,6;50,79;50,46;73,32;73,32;100;100;True
15:54:53.4;65,97;65,88;50;33,01;48,74;48,93;53,05;73,32;73,32;100;100;True
15:54:54.5;65,98;65,98;50,07;33,01;48,85;47,79;54,26;73,32;73,32;100;100;True
15:54:55.5;65,97;66,06;50,14;33;48,95;47,79;51,53;73,32;73,32;100;100;True
15:54:56.6;65,97;66,15;50,2;33,01;49,03;47,51;52,29;73,32;73,32;100;100;True
15:54:57.6;65,99;66,2;50,25;33;49,11;50,5;51,98;73,32;73,32;100;100;True
15:54:58.7;66,03;66,21;50,3;33,01;49,17;50,65;52,14;73,32;73,32;100;100;True
15:54:59.7;66,08;66,17;50,33;33,01;49,21;47,37;51,22;73,32;73,32;100;100;True
15:55:00.8;66,11;66,13;50,34;33,01;49,24;49,51;53,5;73,32;73,32;100;100;True
15:55:01.8;66,13;66,11;50,33;33,01;49,25;48,65;53,2;73,32;73,32;100;100;True
15:55:02.9;66,08;66,08;50,32;33;49,26;47,37;52,9;73,32;73,32;100;100;True
15:55:03.9;65,99;65,99;50,31;33;49,26;46,94;50,77;73,32;73,32;100;100;True
15:55:04.9;65,92;65,91;50,29;33;49,25;47,08;48,34;73,32;73,32;100;100;True
15:55:06.0;65,87;65,86;50,26;33;49,23;48,79;51,22;73,32;73,32;100;100;True
15:55:07.0;65,82;65,86;50,22;33;49,21;47,94;50,77;73,32;73,32;100;100;True
15:55:08.1;65,77;65,83;50,19;33;49,19;48,93;51,22;73,32;73,32;100;100;True
15:55:09.1;65,72;65,76;50,19;33;49,18;49,08;52,9;73,32;73,32;100;100;True
15:55:10.2;65,66;65,68;50,17;33;49,17;50,22;51,53;73,32;73,32;100;100;True
15:55:11.2;65,57;65,6;50,14;33;49,15;48,51;53,05;73,32;73,32;100;100;True
15:55:12.3;65,52;65,54;50,1;33;49,12;48,08;52,59;73,32;73,32;100;100;True
15:55:13.3;65,57;65,47;50,06;33;49,09;49,22;52,44;73,32;73,32;100;100;True
15:55:14.4;65,55;65,44;50,03;33;49,06;47,08;53,05;73,32;73,32;100;100;True
15:55:15.4;65,45;65,4;50;32,99;49,04;48,36;50,77;73,32;73,32;100;100;True
15:55:16.5;65,4;65,34;49,98;32,99;49,02;49,36;51,53;73,32;73,32;100;100;True
15:55:17.5;65,35;65,24;49,96;32,99;49,01;49,79;54,57;73,32;73,32;100;100;True
15:55:18.6;65,29;65,18;49,93;32,99;48,98;48,93;51,53;73,32;73,32;100;100;True
15:55:19.6;65,23;65,16;49,88;32,99;48,95;49,65;51,83;73,32;73,32;100;100;True
15:55:20.7;65,13;65,12;49,85;32,99;48,92;49,93;51,98;73,32;73,32;100;100;True
15:55:21.7;64,99;65,05;49,84;32,98;48,91;49,65;52,59;73,32;73,32;100;100;True
15:55:22.8;64,92;64,98;49,82;32,98;48,89;48,65;52,59;73,32;73,32;100;100;True
15:55:23.9;64,88;64,91;49,79;32,98;48,87;49,51;53,2;73,32;73,32;100;100;True
15:55:24.9;64,94;64,84;49,75;32,98;48,84;48,93;51,98;73,32;73,32;100;100;True
