17/02/2025;;;;;;;;;;;;
Hora;Temperatura do Tanque AQ;Temperatura de entrada AQ;Temperatura de saida AQ;Temperatura de entrada AF;Temperatura de saida AF;Vazao AQ;Vazao AF;Pressao AQ;Pressao AF;Aquecedor;Bomba AF;BombaAQ
17:10:53.0;66,98;61,01;52,77;32,78;33,77;47,65;49,55;73,32;73,32;100;100;True
17:10:54.1;66,98;62,79;54,23;32,78;34,51;46,94;48,49;73,32;73,32;100;100;True
17:10:55.1;66,98;63,98;55,85;32,78;35,45;47,65;45,14;73,32;73,32;100;100;True
17:10:56.2;66,98;64,85;57,17;32,78;36,28;47,51;48,34;73,32;73,32;100;100;True
17:10:57.2;66,97;65,44;58,16;32,78;36,92;47,94;46,66;73,32;73,32;100;100;True
17:10:58.3;66,93;65,77;58,87;32,78;37,44;48,51;47,42;73,32;73,32;100;100;True
17:10:59.3;66,86;65,91;59,36;32,78;37,82;48,08;46,36;73,32;73,32;100;100;True
17:11:00.4;66,72;66;59,63;32,78;38,09;47,22;49,25;73,32;73,32;100;100;True
17:11:01.4;66,58;66,06;59,78;32,78;38,28;47,37;47,58;73,32;73,32;100;100;True
17:11:02.5;66,52;66,13;59,88;32,78;38,42;46,79;47,42;73,32;73,32;100;100;True
17:11:03.5;66,5;66,26;59,96;32,78;38,51;48,08;47,58;73,32;73,32;100;100;True
17:11:04.6;66,49;66,4;60,04;32,78;38,58;47,08;46,36;73,32;73,32;100;100;True
17:11:05.6;66,49;66,52;60,15;32,78;38,64;47,79;46,97;73,32;73,32;100;100;True
17:11:06.7;66,51;66,63;60,27;32,78;38,69;49,65;48,64;73,32;73,32;100;100;True
17:11:07.7;66,54;66,73;60,38;32,78;38,73;48,36;47,42;73,32;73,32;100;100;True
17:11:08.8;66,57;66,8;60,48;32,78;38,77;48,65;47,73;73,32;73,32;100;100;True
17:11:09.8;66,59;66,82;60,57;32,78;38,81;47,94;49,1;73,32;73,32;100;100;True
17:11:10.9;66,61;66,84;60,63;32,78;38,84;48,79;45,6;73,32;73,32;100;100;True
17:11:11.9;66,62;66,89;60,66;32,78;38,87;47,22;48,49;73,32;73,32;100;100;True
17:11:13.0;66,66;66,94;60,69;32,78;38,89;47,37;49,25;73,32;73,32;100;100;True
17:11:14.0;66,72;67,01;60,74;32,78;38,9;48,65;48,64;73,32;73,32;100;100;True
17:11:15.1;66,79;67,1;60,78;32,78;38,92;49,22;47,42;73,32;73,32;100;100;True
17:11:16.1;66,84;67,16;60,86;32,78;38,93;48,22;46,66;73,32;73,32;100;100;True
17:11:17.2;66,79;67,17;60,93;32,79;38,96;47,22;48,34;73,32;73,32;100;100;True
17:11:18.2;66,74;67,18;60,97;32,79;38,98;46,94;48,03;73,32;73,32;100;100;True
17:11:19.3;66,73;67,17;61;32,79;38,99;47,65;47,88;73,32;73,32;100;100;True
17:11:20.3;66,72;67,15;61,01;32,79;39;45,08;46,06;73,32;73,32;100;100;True
17:11:21.3;66,73;67,16;61,01;32,79;39,01;48,65;47,73;73,32;73,32;100;100;True
17:11:22.4;66,76;67,15;61;32,79;39,02;47,51;48,79;73,32;73,32;100;100;True
17:11:23.4;66,77;67,11;61,01;32,79;39,02;46,94;47,58;73,32;73,32;100;100;True
17:11:24.5;66,76;67,08;61;32,79;39,03;48,36;49,1;73,32;73,32;100;100;True
17:11:25.5;66,87;67,06;60,98;32,79;39,03;48,93;48,03;73,32;73,32;100;100;True
17:11:26.6;66,95;67,05;60,96;32,79;39,03;48,65;46,97;73,32;73,32;100;100;True
17:11:27.7;66,87;67,06;60,95;32,79;39,03;49,36;48,49;73,32;73,32;100;100;True
17:11:28.7;66,85;67,04;60,95;32,79;39,03;49,93;46,06;73,32;73,32;100;100;True
17:11:29.7;67,15;67,01;60,96;32,8;39,03;45,65;49,55;73,32;73,32;100;100;True
17:11:30.8;67,59;67,01;60,94;32,8;39,03;47,79;47,58;73,32;73,32;100;100;True
17:11:31.9;67,64;67,05;60,93;32,79;39,03;46,79;48,64;73,32;73,32;100;100;True
17:11:32.9;67,64;67,12;60,94;32,79;39,04;47,65;47,88;73,32;73,32;100;100;True
17:11:34.0;67,61;67,15;60,98;32,79;39,04;47,79;48,03;73,32;73,32;100;100;True
17:11:35.0;67,59;67,17;61,02;32,79;39,05;49,51;45,9;73,32;73,32;100;100;True
17:11:36.1;67,51;67,17;61,05;32,79;39,06;47,94;47,12;73,32;73,32;100;100;True
17:11:37.1;67,39;67,15;61,07;32,79;39,07;47,65;46,06;73,32;73,32;100;100;True
17:11:38.2;67,23;67,12;61,06;32,79;39,07;47,79;45,6;73,32;73,32;100;100;True
17:11:39.3;67,1;67,11;61,05;32,79;39,07;48,08;47,42;73,32;73,32;100;100;True
17:11:40.3;66,98;67,09;61,03;32,79;39,07;47,37;46,82;73,32;73,32;100;100;True
17:11:41.3;66,91;67,04;61,03;32,79;39,07;48,51;47,42;73,32;73,32;100;100;True
17:11:42.4;66,89;66,97;61,01;32,79;39,07;48,36;46,06;73,32;73,32;100;100;True
17:11:43.4;66,83;66,93;60,97;32,79;39,07;47,22;47,58;73,32;73,32;100;100;True
17:11:44.5;66,75;66,88;60,92;32,79;39,06;47,79;49,55;73,32;73,32;100;100;True
17:11:45.5;66,64;66,82;60,89;32,79;39,06;47,79;46,82;73,32;73,32;100;100;True
17:11:46.6;66,56;66,78;60,85;32,79;39,05;46,94;49,7;73,32;73,32;100;100;True
17:11:47.6;66,48;66,78;60,81;32,79;39,04;49,36;47,73;73,32;73,32;100;100;True
17:11:48.7;66,44;66,84;60,78;32,79;39,04;47,79;48,64;73,32;73,32;100;100;True
17:11:49.7;66,41;66,91;60,78;32,79;39,03;47,65;48,34;73,32;73,32;100;100;True
17:11:50.8;66,4;66,95;60,82;32,79;39,03;48,51;47,88;73,32;73,32;100;100;True
17:11:51.8;66,38;66,93;60,88;32,79;39,03;47,65;49,4;73,32;73,32;100;100;True
17:11:52.9;66,35;66,86;60,9;32,79;39,04;46,65;48,18;73,32;73,32;100;100;True
17:11:53.9;66,29;66,78;60,88;32,79;39,05;48,22;48,64;73,32;73,32;100;100;True
17:11:55.0;66,24;66,7;60,83;32,79;39,05;47,94;46,51;73,32;73,32;100;100;True
17:11:56.0;66,22;66,6;60,78;32,79;39,04;48,08;45,9;73,32;73,32;100;100;True
17:11:57.1;66,18;66,52;60,72;32,79;39,04;49,36;48,34;73,32;73,32;100;100;True
17:11:58.1;66,17;66,48;60,64;32,79;39,02;48,36;49,55;73,32;73,32;100;100;True
17:11:59.2;66,16;66,48;60,58;32,8;39,01;46,79;48,03;73,32;73,32;100;100;True
17:12:00.2;66,13;66,5;60,55;32,8;39;50,36;47,12;73,32;73,32;100;100;True
17:12:01.3;66,11;66,52;60,55;32,8;38,99;46,94;48,34;73,32;73,32;100;100;True
17:12:02.3;66,13;66,54;60,56;32,8;38,99;48,36;46,82;73,32;73,32;100;100;True
17:12:03.4;66,24;66,58;60,58;32,8;38,99;47,79;49,4;73,32;73,32;100;100;True
17:12:04.4;66,35;66,67;60,6;32,8;39;47,79;47,27;73,32;73,32;100;100;True
17:12:05.5;66,36;66,74;60,64;32,8;39;47,65;47,27;73,32;73,32;100;100;True
17:12:06.5;66,36;66,75;60,71;32,8;39,01;48,79;48,79;73,32;73,32;100;100;True
17:12:07.6;66,37;66,7;60,75;32,79;39,02;49,22;46,82;73,32;73,32;100;100;True
17:12:08.6;66,27;66,67;60,76;32,79;39,03;47,51;46,51;73,32;73,32;100;100;True
17:12:09.7;66,22;66,68;60,73;32,79;39,03;48,79;48,49;73,32;73,32;100;100;True
17:12:10.7;66,17;66,7;60,71;32,79;39,02;48,51;45,75;73,32;73,32;100;100;True
17:12:11.7;66,22;66,7;60,72;32,78;39,02;45,37;45,9;73,32;73,32;100;100;True
17:12:12.8;66,28;66,71;60,73;32,78;39,03;47,51;48,64;73,32;73,32;100;100;True
17:12:13.8;66,2;66,69;60,73;32,79;39,03;47,51;48,49;73,32;73,32;100;100;True
17:12:14.9;66,13;66,64;60,73;32,79;39,03;47,94;48,34;73,32;73,32;100;100;True
17:12:15.9;66,12;66,58;60,71;32,79;39,03;48,22;47,73;73,32;73,32;100;100;True
17:12:17.0;66,11;66,5;60,68;32,79;39,02;47,94;48,03;73,32;73,32;100;100;True
17:12:18.0;66,11;66,43;60,63;32,79;39,02;49,36;44,84;73,32;73,32;100;100;True
17:12:19.1;66,07;66,37;60,57;32,79;39,01;46,51;46,36;73,32;73,32;100;100;True
17:12:20.1;65,98;66,31;60,51;32,79;39;49,22;47,58;73,32;73,32;100;100;True
17:12:21.2;65,88;66,25;60,47;32,8;38,99;48,93;48,64;73,32;73,32;100;100;True
17:12:22.2;65,83;66,16;60,43;32,79;38,99;47,94;48,03;73,32;73,32;100;100;True
17:12:23.3;65,79;66,09;60,37;32,8;38,97;49,36;47,88;73,32;73,32;100;100;True
17:12:24.3;65,75;66,07;60,3;32,8;38,96;48,93;48,34;73,32;73,32;100;100;True
17:12:25.4;65,69;66,06;60,25;32,8;38,95;49,22;45,45;73,32;73,32;100;100;True
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
